"","Easting","Northing"
"Site 281",758866.282108569,3384575.28869684
"Site 282",756400.226592401,3383884.6177758
"Site 283",755334.678862808,3370637.01932397
"Site 284",764374.766574408,3391402.67055745
"Site 285",693830.171911996,3315594.17400294
"Site 286",747599.209013746,3345696.49240203
"Site 287",758739.665191833,3388661.98634689
"Site 288",781250.651821353,3390695.67645814
"Site 289",741667.037577693,3387228.48487826
"Site 290",735744.564590735,3402033.52294835
"Site 291",805596.955916589,3319267.85621819
"Site 292",718031.612155019,3331582.31819523
"Site 293",803777.513659907,3355406.50816661
"Site 294",742133.015872833,3384432.93713579
"Site 295",779151.199112624,3324559.22090038
"Site 296",680451.390260317,3318607.21616901
"Site 297",738828.995912522,3294419.039422
"Site 298",709269.374071824,3331415.67941232
"Site 299",718732.956440554,3337165.68593929
"Site 300",761241.591961787,3320820.2963981
"Site 301",658483.055431102,3411326.00425593
"Site 302",694053.168515656,3295654.56888018
"Site 303",680712.534608599,3380547.38824131
"Site 304",821426.200905289,3316036.94445041
"Site 305",793901.875067155,3352553.34607853
"Site 306",913768.621726996,3924269.96779415
"Site 307",928896.407650446,3944338.10010393
"Site 308",976452.450880893,3963067.82813053
"Site 309",932056.510514768,3898835.52304348
"Site 310",909956.542503158,3890031.76797012
"Site 311",976679.65551754,3939004.23705667
"Site 312",866017.096947729,3854153.66047932
"Site 313",933754.948646937,3909594.87126647
"Site 314",936711.588095665,3900063.85770567
"Site 315",947215.739502863,3965853.93582553
"Site 316",944673.258167881,3870894.50350295
"Site 317",957321.549124134,3854721.53777906
"Site 318",953964.520040571,3954784.54393174
"Site 319",866702.918938667,3903577.84469363
"Site 320",859283.098897495,3880290.88114408
"Site 321",870504.69235552,3866091.52863954
"Site 322",930346.530400636,3947698.98895786
"Site 323",898611.176677787,3918576.50227346
"Site 324",925188.207229453,3896596.01282759
"Site 325",934240.562522769,3937848.51780239
"Site 326",949591.118810961,3900784.53409326
"Site 327",865674.479504791,3913788.42595796
"Site 328",953018.934437955,3913048.85775551
"Site 329",897884.709322651,3915761.76453625
"Site 330",950320.546421327,3944297.94024725
"Site 331",908817.236709473,3962148.85570963
"Site 332",476580.267766645,3857800.01909945
"Site 333",547423.942306662,3966625.84521458
"Site 334",525622.728205708,3921326.76592531
"Site 335",588132.545892999,3917124.73694169
"Site 336",537207.761835309,3870629.27205947
"Site 337",587206.727966353,3875072.92837713
"Site 338",525104.93859826,3914356.20063117
"Site 339",498398.359714337,3900188.17571549
"Site 340",606815.138801139,3958756.00138767
"Site 341",577916.890801911,3918760.37515791
"Site 342",614885.478830995,3918399.39084544
"Site 343",567789.686948492,3744661.92361402
"Site 344",639024.115362498,3754016.01196992
"Site 345",638155.750354558,3736313.32718784
"Site 346",674647.170307818,3739508.89015794
"Site 347",740254.217237475,3334995.45334581
"Site 348",784230.572220011,3293094.22451602
"Site 349",755327.016634915,3240238.34996107
"Site 350",769654.742677239,3293117.40937818
"Site 351",799175.37225097,3359777.55441369
"Site 352",976872.267453104,3777072.95684022
"Site 353",294734.369132494,3564757.96394596
"Site 354",436979.571603335,3630921.20493322
"Site 355",407095.225029038,3657783.2189325
"Site 356",753607.792288694,3427220.5728461
"Site 357",900857.956093386,3431079.77183758
"Site 358",957881.674414472,3494705.50451326
"Site 359",853919.009813993,3408859.03488662
"Site 360",746000.31199684,3430261.97948806
"Site 361",690241.073565485,3436205.83616419
"Site 362",752139.376033328,3359771.17560597
"Site 363",708401.897956694,3316025.56271313
"Site 364",706094.758945232,3458417.89119482
"Site 365",742736.464303492,3291422.14457396
"Site 366",778951.770646292,3477687.86055095
"Site 367",120157.325723804,3527851.69749389
"Site 368",183365.391243129,3614573.00136688
"Site 369",1107511.51675641,3732995.33794788
"Site 370",1081229.13810274,3693745.87837517
"Site 371",1208379.30348869,3596943.43240404
